"BirdLife common name","BirdLife Scientific name","eBird Common Name","eBird Scientific Name"
"Yellow-billed Cuckoo","Coccyzus americanus","Yellow-billed Cuckoo","Coccyzus americanus"
"Black-billed Cuckoo","Coccyzus erythropthalmus","Black-billed Cuckoo","Coccyzus erythropthalmus"
"Barn Owl","Tyto alba","Barn Owl","Tyto alba"
"Common Scops-owl","Otus scops","European Scops-Owl","Otus scops"
"Snowy Owl","Bubo scandiaca","Snowy Owl","Bubo scandiacus"
"Eurasian Eagle-owl","Bubo bubo","Eurasian Eagle-Owl","Bubo bubo"
"Tawny Owl","Strix aluco","Tawny Owl","Strix aluco"
"Little Owl","Athene noctua","Little Owl","Athene noctua"
"Long-eared Owl","Asio otus","Long-eared Owl","Asio otus"
"Short-eared Owl","Asio flammeus","Short-eared Owl","Asio flammeus"
"Marsh Owl","Asio capensis","Marsh Owl","Asio capensis"
"Caprimulgus sp.","Caprimulgus sp.","Caprimulgus sp.","Caprimulgus sp."
"Common Nighthawk","Chordeiles minor","Common Nighthawk","Chordeiles minor"
"Red-necked Nightjar","Caprimulgus ruficollis","Red-necked Nightjar","Caprimulgus ruficollis"
"Eurasian Nightjar","Caprimulgus europaeus","Eurasian Nightjar","Caprimulgus europaeus"
"Chimney Swift","Chaetura pelagica","Chimney Swift","Chaetura pelagica"
"Alpine Swift","Apus melba","Alpine Swift","Apus melba"
"Common Swift","Apus apus","Common Swift","Apus apus"
"Plain Swift","Apus unicolor","Plain Swift","Apus unicolor"
"Pallid Swift","Apus pallidus","Pallid Swift","Apus pallidus"
"Little Swift","Apus affinis","Little Swift","Apus affinis"
"White-rumped Swift","Apus caffer","White-rumped Swift","Apus caffer"
"Unidentified swift","Apus sp","Apus sp.","Apus sp."
"European Roller","Coracias garrulus","European Roller","Coracias garrulus"
"Common Kingfisher","Alcedo atthis","Common Kingfisher","Alcedo atthis"
"Belted Kingfisher","Megaceryle alcyon","Belted Kingfisher","Megaceryle alcyon"
"European Bee-eater","Merops apiaster","European Bee-eater","Merops apiaster"
"Eurasian Hoopoe","Upupa epops","Eurasian Hoopoe","Upupa epops"
"Eurasian Wryneck","Jynx torquilla","Eurasian Wryneck","Jynx torquilla"
"Lesser Spotted Woodpecker","Dendrocopos minor","Lesser Spotted Woodpecker","Dendrocopos minor"
"Great Spotted Woodpecker","Dendrocopos major","Great Spotted Woodpecker","Dendrocopos major"
"Eurasian Green Woodpecker","Picus viridis","Green Woodpecker","Picus viridis"
"Red-backed Shrike","Lanius collurio","Red-backed Shrike","Lanius collurio"
"Southern Grey Shrike","Lanius meridionalis","Southern Gray Shrike","Lanius meridionalis"
"Woodchat Shrike","Lanius senator","Woodchat Shrike","Lanius senator"
"White-eyed Vireo","Vireo griseus","White-eyed Vireo","Vireo griseus"
"Philadelphia Vireo","Vireo philadelphicus","Philadelphia Vireo","Vireo philadelphicus"
"Red-eyed Vireo","Vireo olivaceus","Red-eyed Vireo","Vireo olivaceus"
"Eurasian Golden-oriole","Oriolus oriolus","Eurasian Golden Oriole","Oriolus oriolus"
"Blue Jay","Cyanocitta cristata","Blue Jay","Cyanocitta cristata"
"Eurasian Jay","Garrulus glandarius","Eurasian Jay","Garrulus glandarius"
"Azure-winged Magpie","Cyanopica cyanus","Azure-winged Magpie","Cyanopica cyanus"
"Black-billed Magpie","Pica pica","Eurasian Magpie","Pica pica"
"Red-billed Chough","Pyrrhocorax pyrrhocorax","Red-billed Chough","Pyrrhocorax pyrrhocorax"
"Eurasian Jackdaw","Corvus monedula","Eurasian Jackdaw","Corvus monedula"
"Rook","Corvus frugilegus","Rook","Corvus frugilegus"
"Carrion Crow","Corvus corone","Carrion Crow","Corvus corone"
"Common Raven","Corvus corax","Common Raven","Corvus corax"
"Coal Tit","Parus ater","Coal Tit","Periparus ater"
"Crested Tit","Parus cristatus","Crested Tit","Lophophanes cristatus"
"Great Tit","Parus major","Great Tit","Parus major"
"Blue Tit","Parus caeruleus","Eurasian Blue Tit","Cyanistes caeruleus"
"Eurasian Penduline-tit","Remiz pendulinus","Eurasian Penduline-Tit","Remiz pendulinus"
"Sand Martin","Riparia riparia","Bank Swallow","Riparia riparia"
"Tree Swallow","Tachycineta bicolor","Tree Swallow","Tachycineta bicolor"
"Purple Martin","Progne subis","Purple Martin","Progne subis"
"Eurasian Crag-martin","Ptyonoprogne rupestris","Eurasian Crag-Martin","Ptyonoprogne rupestris"
"Barn Swallow","Hirundo rustica","Barn Swallow","Hirundo rustica"
"American Barn Swallow (H. r. erythrogaster)","Hirundo rustica erythrogaster","Barn Swallow (American)","Hirundo rustica erythrogaster"
"Red-rumped Swallow","Hirundo daurica","Red-rumped Swallow","Cecropis daurica"
"Northern House-martin","Delichon urbicum","Common House-Martin","Delichon urbicum"
"American Cliff Swallow","Petrochelidon pyrrhonota","Cliff Swallow","Petrochelidon pyrrhonota"
"Long-tailed Tit","Aegithalos caudatus","Long-tailed Tit","Aegithalos caudatus"
"Calandra Lark","Melanocorypha calandra","Calandra Lark","Melanocorypha calandra"
"Greater Short-toed Lark","Calandrella brachydactyla","Greater Short-toed Lark","Calandrella brachydactyla"
"Lesser Short-toed Lark","Calandrella rufescens","Lesser Short-toed Lark","Calandrella rufescens"
"Dupont's Lark","Chersophilus duponti","Dupont's Lark","Chersophilus duponti"
"Unidentified Lark","Galerida sp.","lark sp.","Alaudidae sp."
"Crested Lark","Galerida cristata","Crested Lark","Galerida cristata"
"Thekla Lark","Galerida theklae","Thekla Lark","Galerida theklae"
"Wood Lark","Lullula arborea","Wood Lark","Lullula arborea"
"Eurasian Skylark","Alauda arvensis","Sky Lark","Alauda arvensis"
"Zitting Cisticola","Cisticola juncidis","Zitting Cisticola","Cisticola juncidis"
"Cetti's Warbler","Cettia cetti","Cetti's Warbler","Cettia cetti"
"Common Grasshopper-warbler","Locustella naevia","Grasshopper Warbler","Locustella naevia"
"Eurasian River Warbler","Locustella fluviatilis","Eurasian River Warbler","Locustella fluviatilis"
"Savi's Warbler","Locustella luscinioides","Savi's Warbler","Locustella luscinioides"
"Moustached Warbler","Acrocephalus melanopogon","Moustached Warbler","Acrocephalus melanopogon"
"Aquatic Warbler","Acrocephalus paludicola","Aquatic Warbler","Acrocephalus paludicola"
"Sedge Warbler","Acrocephalus schoenobaenus","Sedge Warbler","Acrocephalus schoenobaenus"
"Paddyfield Warbler","Acrocephalus agricola","Paddyfield Warbler","Acrocephalus agricola"
"Reed Warbler","Acrocephalus scirpaceus","Eurasian Reed-Warbler","Acrocephalus scirpaceus"
"Marsh Warbler","Acrocephalus palustris","Marsh Warbler","Acrocephalus palustris"
"Great Reed-warbler","Acrocephalus arundinaceus","Great Reed-Warbler","Acrocephalus arundinaceus"
"Eastern Olivaceous Warbler","Hippolais pallida","Eastern Olivaceous Warbler","Iduna pallida"
"Melodious Warbler","Hippolais polyglotta","Melodious Warbler","Hippolais polyglotta"
"Icterine Warbler","Hippolais icterina","Icterine Warbler","Hippolais icterina"
"Western Olivaceous Warbler","Hippolais opaca","Western Olivaceous Warbler","Iduna opaca"
"Willow Warbler","Phylloscopus trochilus","Willow Warbler","Phylloscopus trochilus"
"Common Chiffchaff (P. c. tristis)","Phylloscopus collybita tristis","Common Chiffchaff (Siberian)","Phylloscopus collybita tristis"
"Common Chiffchaff","Phylloscopus collybita","Common Chiffchaff","Phylloscopus collybita"
"Iberian Chiffchaff","Phylloscopus ibericus","Iberian Chiffchaff","Phylloscopus ibericus"
"Common / Iberian Chiffchaff (unidentified)","Phylloscopus ibericus / collybita","Phylloscopus sp.","Phylloscopus sp."
"Bonelli's Warbler","Phylloscopus bonelli","Western Bonelli's Warbler","Phylloscopus bonelli"
"Wood Warbler","Phylloscopus sibilatrix","Wood Warbler","Phylloscopus sibilatrix"
"Dusky Warbler","Phylloscopus fuscatus","Dusky Warbler","Phylloscopus fuscatus"
"Lemon-rumped Warbler","Phylloscopus proregulus","Pallas's Leaf-Warbler","Phylloscopus proregulus"
"Inornate/Yellow-browed Warbler","Phylloscopus inornatus","Yellow-browed Warbler","Phylloscopus inornatus"
"Inornate Warbler","Phylloscopus inornatus","Yellow-browed Warbler","Phylloscopus inornatus"
"Unidentified Phylloscopus","Phylloscopus sp","Phylloscopus sp.","Phylloscopus sp."
"Blackcap","Sylvia atricapilla","Blackcap","Sylvia atricapilla"
"Blackcap (S. a. gularis)","Sylvia atricapilla gularis","Blackcap","Sylvia atricapilla"
"Madeira Blackcap (S. a. heineken)","Sylvia atricapilla heineken","Blackcap","Sylvia atricapilla"
"Garden Warbler","Sylvia borin","Garden Warbler","Sylvia borin"
"Common Whitethroat","Sylvia communis","Greater Whitethroat","Sylvia communis"
"Lesser Whitethroat","Sylvia curruca","Lesser Whitethroat","Sylvia curruca"
"Orphean Warbler","Sylvia hortensis","Western Orphean Warbler","Sylvia hortensis"
"Sardinian Warbler","Sylvia melanocephala","Sardinian Warbler","Sylvia melanocephala"
"Subalpine Warbler","Sylvia cantillans","Subalpine Warbler","Sylvia cantillans"
"Spectacled Warbler","Sylvia conspicillata","Spectacled Warbler","Sylvia conspicillata"
"Dartford Warbler","Sylvia undata","Dartford Warbler","Sylvia undata"
"White-crested Laughingthrush","Garrulax leucolophus","White-crested Laughingthrush","Garrulax leucolophus"
"Red-billed Leiothrix","Leiothrix lutea","Red-billed Leiothrix","Leiothrix lutea"
"Goldcrest","Regulus regulus","Goldcrest","Regulus regulus"
"Goldcrest (R. r. sanctae-mariae)","Regulus regulus sanctae-mariae","Goldcrest (Santa Maria)","Regulus regulus sanctaemariae"
"Goldcrest (R. r. inermis)","Regulus regulus inermis","Goldcrest (Western Azores)","Regulus regulus inermis"
"Goldcrest (R. r. azoricus)","Regulus regulus azoricus","Goldcrest (Sao Miguel)","Regulus regulus azoricus"
"Firecrest","Regulus ignicapilla","Firecrest","Regulus ignicapilla"
"Madeira Kinglet/Madeira Firecrest","Regulus madeirensis","Firecrest (Madeira)","Regulus ignicapilla madeirensis"
"Winter Wren","Troglodytes troglodytes","Eurasian Wren","Troglodytes troglodytes"
"Wood Nuthatch","Sitta europaea","Eurasian Nuthatch","Sitta europaea"
"Wallcreeper","Tichodroma muraria","Wallcreeper","Tichodroma muraria"
"Short-toed Treecreeper","Certhia brachydactyla","Short-toed Treecreeper","Certhia brachydactyla"
"Common Myna","Acridotheres tristis","Common Myna","Acridotheres tristis"
"Crested Myna","Acridotheres cristatellus","Crested Myna","Acridotheres cristatellus"
"Unidentified Starling","Sturnus sp.","European/Spotless Starling","Sturnus vulgaris/unicolor"
"Rosy Starling","Sturnus roseus","Rosy Starling","Pastor roseus"
"Common Starling (S. v. granti)","Sturnus vulgaris granti","European Starling","Sturnus vulgaris"
"Common Starling","Sturnus vulgaris","European Starling","Sturnus vulgaris"
"Spotless Starling","Sturnus unicolor","Spotless Starling","Sturnus unicolor"
"Grey-cheeked Thrush","Catharus minimus","Grey-cheeked Thrush","Catharus minimus"
"Wood Thrush","Hylocichla mustelina","Wood Thrush","Hylocichla mustelina"
"Ring Ouzel","Turdus torquatus","Ring Ouzel","Turdus torquatus"
"Eurasian Blackbird (T. m. azorensis)","Turdus merula azorensis","Eurasian Blackbird","Turdus merula"
"Eurasian Blackbird","Turdus merula","Eurasian Blackbird","Turdus merula"
"Eyebrowed Thrush","Turdus obscurus","Eyebrowed Thrush","Turdus obscurus"
"Dark-throated Thrush","Turdus ruficollis","Red-throated Thrush","Turdus ruficollis"
"Fieldfare","Turdus pilaris","Fieldfare","Turdus pilaris"
"Redwing","Turdus iliacus","Redwing","Turdus iliacus"
"Song Thrush","Turdus philomelos","Song Thrush","Turdus philomelos"
"Mistle Thrush","Turdus viscivorus","Mistle Thrush","Turdus viscivorus"
"European Robin","Erithacus rubecula","European Robin","Erithacus rubecula"
"Common Nightingale","Luscinia megarhynchos","Common Nightingale","Luscinia megarhynchos"
"Bluethroat","Luscinia svecica","Bluethroat","Luscinia svecica"
"Rufous-tailed Scrub-robin","Cercotrichas galactotes","Rufous-tailed Scrub-Robin","Cercotrichas galactotes"
"Black Redstart","Phoenicurus ochruros","Black Redstart","Phoenicurus ochruros"
"Common Redstart","Phoenicurus phoenicurus","Common Redstart","Phoenicurus phoenicurus"
"Whinchat","Saxicola rubetra","Whinchat","Saxicola rubetra"
"Common Stonechat","Saxicola torquatus","European Stonechat","Saxicola rubicola"
"Common Stonechat (S. t. maurus)","Saxicola torquatus maurus","European Stonechat","Saxicola rubicola"
"White-tailed Wheatear","Oenanthe leucopyga","White-tailed Wheatear","Oenanthe leucopyga"
"Black Wheatear","Oenanthe leucura","Black Wheatear","Oenanthe leucura"
"Northern Wheatear","Oenanthe oenanthe","Northern Wheatear","Oenanthe oenanthe"
"Black-eared Wheatear","Oenanthe hispanica","Black-eared Wheatear","Oenanthe hispanica"
"Desert Wheatear","Oenanthe deserti","Desert Wheatear","Oenanthe deserti"
"Isabelline Wheatear","Oenanthe isabellina","Isabelline Wheatear","Oenanthe isabellina"
"Rufous-tailed Rock-thrush","Monticola saxatilis","Rufous-tailed Rock-Thrush","Monticola saxatilis"
"Blue Rock-thrush","Monticola solitarius","Blue Rock-Thrush","Monticola solitarius"
"Spotted Flycatcher","Muscicapa striata","Spotted Flycatcher","Muscicapa striata"
"European Pied Flycatcher","Ficedula hypoleuca","European Pied Flycatcher","Ficedula hypoleuca"
"Red-breasted Flycatcher","Ficedula parva","Red-breasted Flycatcher","Ficedula parva"
"White-throated Dipper","Cinclus cinclus","White-fronted Dipper","Cinclus cinclus"
"Passer sp.","Passer sp.","Passer sp.","Passer sp."
"House Sparrow","Passer domesticus","House Sparrow","Passer domesticus"
"Spanish Sparrow","Passer hispaniolensis","Spanish Sparrow","Passer hispaniolensis"
"Eurasian Tree Sparrow","Passer montanus","Eurasian Tree Sparrow","Passer montanus"
"Rock Sparrow","Petronia petronia","Rock Petronia","Petronia petronia"
"White-winged Snowfinch","Montifringilla nivalis","White-winged Snowfinch","Montifringilla nivalis"
"Southern Masked-weaver","Ploceus velatus","Southern Masked-Weaver","Ploceus velatus"
"Village Weaver","Ploceus cucullatus","Village Weaver","Ploceus cucullatus"
"Black-headed Weaver","Ploceus melanocephalus","Black-headed Weaver","Ploceus melanocephalus"
"Red-billed Quelea","Quelea quelea","Red-billed Quelea","Quelea quelea"
"Yellow-crowned Bishop","Euplectes afer","Yellow-crowned Bishop","Euplectes afer"
"Black-winged Bishop","Euplectes hordeaceus","Black-winged Bishop","Euplectes hordeaceus"
"Orange Bishop","Euplectes franciscanus","Orange Bishop","Euplectes franciscanus"
"Red Bishop","Euplectes orix","Red Bishop","Euplectes orix"
"Yellow-shouldered Widowbird","Euplectes macroura","Yellow-shouldered Widowbird","Euplectes macroura"
"Red-collared Widowbird","Euplectes ardens","Red-collared Widowbird","Euplectes ardens"
"Long-tailed Widowbird","Euplectes progne","Long-tailed Widowbird","Euplectes progne"
"Cut-throat","Amadina fasciata","Cut-throat","Amadina fasciata"
"Red-cheeked Cordonbleu","Uraeginthus bengalus","Red-cheeked Cordonbleu","Uraeginthus bengalus"
"Lavender Waxbill","Estrilda caerulescens","Lavender Waxbill","Estrilda caerulescens"
"Swee Waxbill","Estrilda melanotis","Swee Waxbill","Coccopygia melanotis"
"Orange-cheeked Waxbill","Estrilda melpoda","Orange-cheeked Waxbill","Estrilda melpoda"
"Crimson-rumped Waxbill","Estrilda rhodopyga","Crimson-rumped Waxbill","Estrilda rhodopyga"
"Black-rumped Waxbill","Estrilda troglodytes","Black-rumped Waxbill","Estrilda troglodytes"
"Common Waxbill","Estrilda astrild","Common Waxbill","Estrilda astrild"
"Red Avadavat","Amandava amandava","Red Avadavat","Amandava amandava"
"Scaly-breasted munia","Lonchura punctulata","Nutmeg Mannikin","Lonchura punctulata"
"Zebra Waxbill","Amandava subflava","Zebra Waxbill","Sporaeginthus subflavus"
"Zebra Finch","Taeniopygia guttata","Zebra Finch","Taeniopygia guttata"
"African Silverbill","Lonchura cantans","African Silverbill","Euodice cantans"
"Tricoloured Munia","Lonchura malacca","Black-faced Munia","Lonchura molucca"
"White-headed Munia","Lonchura maja","White-headed Munia","Lonchura maja"
"Java Sparrow","Padda oryzivora","Java Sparrow","Lonchura oryzivora"
"Pin-tailed Whydah","Vidua macroura","Pin-tailed Whydah","Vidua macroura"
"Straw-tailed Whydah","Vidua fischeri","Straw-tailed Whydah","Vidua fischeri"
"Alpine Accentor","Prunella collaris","Alpine Accentor","Prunella collaris"
"Hedge Accentor","Prunella modularis","Dunnock","Prunella modularis"
"White Wagtail (M. a. yarrellii)","Motacilla alba yarrellii","White Wagtail (British)","Motacilla alba yarrellii"
"White Wagtail (M. a. subpersonata)","Motacilla alba subpersonata","White Wagtail (Moroccan)","Motacilla alba subpersonata"
"White Wagtail","Motacilla alba","White Wagtail","Motacilla alba"
"White Wagtail (M. a. alba)","Motacilla alba alba","White Wagtail (White-faced)","Motacilla alba alba"
"Citrine Wagtail","Motacilla citreola","Citrine Wagtail","Motacilla citreola"
"Yellow Wagtail (M. flava flavissima)","Motacilla flava flavissima","Western Yellow Wagtail (Yellow)","Motacilla flava flavissima"
"Yellow Wagtail (M. flava feldegg)","Motacilla flava feldegg","Western Yellow Wagtail (Black-headed)","Motacilla flava feldegg"
"Yellow Wagtail (M. flava thunbergi)","Motacilla flava thunbergi","Western Yellow Wagtail (Gray-headed)","Motacilla flava thunbergi"
"Yellow Wagtail (M. flava flava)","Motacilla flava flava","Western Yellow Wagtail (Blue-headed)","Motacilla flava flava/beema"
"Yellow Wagtail (M. flava iberiae)","Motacilla flava iberiae","Western Yellow Wagtail (Ashy-headed)","Motacilla flava [cinereocapilla Group]"
"Yellow Wagtail (M. flava cinereocapilla)","Motacilla flava cinereocapilla","Western Yellow Wagtail (Ashy-headed)","Motacilla flava [cinereocapilla Group]"
"Yellow Wagtail","Motacilla flava","Western Yellow Wagtail","Motacilla flava"
"Grey Wagtail (M. c. patriciae)","Motacilla cinerea patriciae","Grey Wagtail","Motacilla cinerea"
"Grey Wagtail","Motacilla cinerea","Gray Wagtail","Motacilla cinerea"
"Pipit","Anthus sp.","pipit sp.","Anthus sp."
"Richard's Pipit","Anthus richardi","Richard's Pipit","Anthus richardi"
"Tawny Pipit","Anthus campestris","Tawny Pipit","Anthus campestris"
"Blyth's Pipit","Anthus godlewskii","Blyth's Pipit","Anthus godlewskii"
"Berthelot's Pipit","Anthus berthelotii","Berthelot's Pipit","Anthus berthelotii"
"Tree Pipit","Anthus trivialis","Tree Pipit","Anthus trivialis"
"Olive-backed Pipit","Anthus hodgsoni","Olive-backed Pipit","Anthus hodgsoni"
"Meadow Pipit","Anthus pratensis","Meadow Pipit","Anthus pratensis"
"Red-throated Pipit","Anthus cervinus","Red-throated Pipit","Anthus cervinus"
"Rock Pipit","Anthus petrosus","Rock Pipit","Anthus petrosus"
"Water Pipit","Anthus spinoletta","Water Pipit","Anthus spinoletta"
"American Pipit/Buff-bellied Pipit","Anthus rubescens","American Pipit","Anthus rubescens"
"Chaffinch (F. c. moreletti)","Fringilla coelebs moreletti","Common Chaffinch (Azores/Madeira)","Fringilla coelebs moreletti/maderensis"
"Chaffinch","Fringilla coelebs","Common Chaffinch","Fringilla coelebs"
"Madeira Chaffinch (F. c. madeirensis)","Fringilla coelebs madeirensis","Common Chaffinch (Azores/Madeira)","Common Chaffinch (Azores/Madeira)"
"Brambling","Fringilla montifringilla","Brambling","Fringilla montifringilla"
"European Serin","Serinus serinus","European Serin","Serinus serinus"
"Island Canary","Serinus canaria","Island Canary","Serinus canaria"
"Island Canary (S. c. canaria)","Serinus canaria canaria","Island Canary","Serinus canaria"
"Yellow-fronted Canary","Serinus mozambicus","Yellow-fronted Canary","Serinus mozambicus"
"European Greenfinch","Carduelis chloris","European Greenfinch","Chloris chloris"
"Eurasian Siskin","Carduelis spinus","Eurasian Siskin","Spinus spinus"
"European Goldfinch (C. c. parva)","Carduelis carduelis parva","European Goldfinch","Carduelis carduelis"
"European Goldfinch","Carduelis carduelis","European Goldfinch","Carduelis carduelis"
"Common Redpoll","Carduelis flammea","Common Redpoll","Carduelis flammea"
"Hoary Redpoll/Arctic Redpoll","Carduelis hornemanni","Hoary Redpoll","Carduelis hornemanni"
"Eurasian Linnet","Carduelis cannabina","Eurasian Linnet","Carduelis cannabina"
"Trumpeter Finch","Bucanetes githagineus","Trumpeter Finch","Bucanetes githagineus"
"Common Rosefinch","Carpodacus erythrinus","Common Rosefinch","Carpodacus erythrinus"
"Red Crossbill","Loxia curvirostra","Red Crossbill","Loxia curvirostra"
"Eurasian Bullfinch","Pyrrhula pyrrhula","Eurasian Bullfinch","Pyrrhula pyrrhula"
"Azores Bullfinch","Pyrrhula murina","Azores Bullfinch","Pyrrhula murina"
"Hawfinch","Coccothraustes coccothraustes","Hawfinch","Coccothraustes coccothraustes"
"Tennessee Warbler","Vermivora peregrina","Tennessee Warbler","Oreothlypis peregrina"
"Yellow Warbler","Dendroica petechia","Yellow Warbler","Setophaga petechia"
"Magnolia Warbler","Dendroica magnolia","Magnolia Warbler","Setophaga magnolia"
"Black-throated Blue Warbler","Dendroica caerulescens","Black-throated Blue Warbler","Setophaga caerulescens"
"Yellow-rumped Warbler","Dendroica coronata","Yellow-rumped Warbler","Setophaga coronata coronata"
"Black-throated Green Warbler","Dendroica virens","Black-throated Green Warbler","Setophaga virens"
"Blackpoll Warbler","Dendroica striata","Blackpoll Warbler","Setophaga striata"
"American Redstart","Setophaga ruticilla","American Redstart","Setophaga ruticilla"
"Ovenbird","Seiurus aurocapilla","Ovenbird","Seiurus aurocapilla"
"Northern Waterthrush","Seiurus noveboracensis","Northern Waterthrush","Parkesia noveboracensis"
"Common Yellowthroat","Geothlypis trichas","Common Yellowthroat","Geothlypis trichas"
"Hooded Warbler","Wilsonia citrina","Hooded Warbler","Setophaga citrina"
"Baltimore Oriole","Icterus galbula","Baltimore Oriole","Icterus galbula"
"Bobolink","Dolichonyx oryzivorus","Bobolink","Dolichonyx oryzivorus"
"Corn Bunting","Emberiza calandra","Corn Bunting","Emberiza calandra"
"Yellowhammer","Emberiza citrinella","Yellowhammer","Emberiza citrinella"
"Cirl Bunting","Emberiza cirlus","Cirl Bunting","Emberiza cirlus"
"Rock Bunting","Emberiza cia","Rock Bunting","Emberiza cia"
"Ortolan Bunting","Emberiza hortulana","Ortolan Bunting","Emberiza hortulana"
"Little Bunting","Emberiza pusilla","Little Bunting","Emberiza pusilla"
"Rustic Bunting","Emberiza rustica","Rustic Bunting","Emberiza rustica"
"Yellow-breasted Bunting","Emberiza aureola","Yellow-breasted Bunting","Emberiza aureola"
"Pallas's Bunting","Emberiza pallasi","Pallas's Bunting","Emberiza pallasi"
"Reed Bunting","Emberiza schoeniclus","Reed Bunting","Emberiza schoeniclus"
"Lapland Longspur","Calcarius lapponicus","Lapland Longspur","Calcarius lapponicus"
"Snow Bunting","Plectrophenax nivalis","Snow Bunting","Plectrophenax nivalis"
"White-throated Sparrow","Zonotrichia albicollis","White-throated Sparrow","Zonotrichia albicollis"
"Savannah Sparrow","Passerculus sandwichensis","Savannah Sparrow","Passerculus sandwichensis"
"Indigo Bunting","Passerina cyanea","Indigo Bunting","Passerina cyanea"
"Summer Tanager","Piranga rubra","Summer Tanager","Piranga rubra"
"Scarlet Tanager","Piranga olivacea","Scarlet Tanager","Piranga olivacea"
"Rose-breasted Grosbeak","Pheucticus ludovicianus","Rose-breasted Grosbeak","Pheucticus ludovicianus"
